Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
viralrecon,normal,0.05,40,0,MINMIN,560.1099999999999,0, 8, 21, 17, 13, 18, 2, 0, 0, 11, 3, 7, 9, 0, 0, 46, 0, 11, 0, 4, 20, 0, 8, 5, 0, 0, 2,{c5.2xlarge=0; c5.xlarge=8; c5a.2xlarge=21; c5a.xlarge=17; d3.2xlarge=13; d3.xlarge=18; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=11; m5.large=3; m5.xlarge=7; m5a.2xlarge=9; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=46; m5zn.large=0; m5zn.xlarge=11; r5.2xlarge=0; r5.large=4; r5.xlarge=20; r5a.2xlarge=0; r5a.large=8; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=2},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.05,40,0,MAXMIN,519.9299999999998,0, 11, 24, 17, 14, 19, 3, 0, 0, 8, 8, 11, 22, 0, 0, 17, 0, 9, 0, 2, 15, 2, 10, 5, 0, 0, 8,{c5.2xlarge=0; c5.xlarge=11; c5a.2xlarge=24; c5a.xlarge=17; d3.2xlarge=14; d3.xlarge=19; i3.2xlarge=3; i3.large=0; i3.xlarge=0; m5.2xlarge=8; m5.large=8; m5.xlarge=11; m5a.2xlarge=22; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=17; m5zn.large=0; m5zn.xlarge=9; r5.2xlarge=0; r5.large=2; r5.xlarge=15; r5a.2xlarge=2; r5a.large=10; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=8},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.05,40,0,MCT,650.1099999999999,0, 12, 19, 14, 11, 14, 2, 0, 0, 7, 5, 8, 20, 0, 0, 47, 0, 9, 0, 4, 14, 0, 10, 3, 0, 0, 6,{c5.2xlarge=0; c5.xlarge=12; c5a.2xlarge=19; c5a.xlarge=14; d3.2xlarge=11; d3.xlarge=14; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=7; m5.large=5; m5.xlarge=8; m5a.2xlarge=20; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=47; m5zn.large=0; m5zn.xlarge=9; r5.2xlarge=0; r5.large=4; r5.xlarge=14; r5a.2xlarge=0; r5a.large=10; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=6},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.05,40,0,ROUNDROBIN,582.9799999999997,0, 10, 18, 12, 15, 6, 2, 0, 0, 6, 2, 1, 26, 0, 4, 61, 0, 0, 0, 2, 12, 2, 21, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=18; c5a.xlarge=12; d3.2xlarge=15; d3.xlarge=6; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=6; m5.large=2; m5.xlarge=1; m5a.2xlarge=26; m5a.large=0; m5a.xlarge=4; m5zn.2xlarge=61; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=2; r5.xlarge=12; r5a.2xlarge=2; r5a.large=21; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.05,40,0,STATIC,535.7599999999996,0, 9, 25, 9, 6, 19, 1, 0, 0, 4, 3, 7, 22, 0, 0, 60, 0, 16, 0, 3, 15, 0, 1, 0, 0, 0, 5,{c5.2xlarge=0; c5.xlarge=9; c5a.2xlarge=25; c5a.xlarge=9; d3.2xlarge=6; d3.xlarge=19; i3.2xlarge=1; i3.large=0; i3.xlarge=0; m5.2xlarge=4; m5.large=3; m5.xlarge=7; m5a.2xlarge=22; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=60; m5zn.large=0; m5zn.xlarge=16; r5.2xlarge=0; r5.large=3; r5.xlarge=15; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=5},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.05,40,0,NOML,516.63,0, 15, 24, 6, 9, 10, 3, 6, 0, 11, 5, 9, 6, 0, 8, 22, 0, 10, 0, 10, 11, 10, 8, 8, 0, 0, 15,{c5.2xlarge=0; c5.xlarge=15; c5a.2xlarge=24; c5a.xlarge=6; d3.2xlarge=9; d3.xlarge=10; i3.2xlarge=3; i3.large=6; i3.xlarge=0; m5.2xlarge=11; m5.large=5; m5.xlarge=9; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=8; m5zn.2xlarge=22; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=0; r5.large=10; r5.xlarge=11; r5a.2xlarge=10; r5a.large=8; r5a.xlarge=8; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=15},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.05,40,0,CUSTOMCLUSTERNOML,337.5999999999999,0, 16, 19, 10, 21, 11, 7, 12, 0, 8, 7, 8, 9, 0, 3, 15, 0, 10, 0, 7, 5, 8, 10, 11, 0, 0, 8,{c5.2xlarge=0; c5.xlarge=16; c5a.2xlarge=19; c5a.xlarge=10; d3.2xlarge=21; d3.xlarge=11; i3.2xlarge=7; i3.large=12; i3.xlarge=0; m5.2xlarge=8; m5.large=7; m5.xlarge=8; m5a.2xlarge=9; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=15; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=0; r5.large=7; r5.xlarge=5; r5a.2xlarge=8; r5a.large=10; r5a.xlarge=11; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=8},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.05,40,0,TEXTDISTANCE,543.1599999999999,0, 11, 12, 18, 7, 10, 4, 9, 0, 14, 9, 18, 10, 0, 7, 13, 0, 11, 0, 9, 11, 12, 6, 6, 0, 0, 8,{c5.2xlarge=0; c5.xlarge=11; c5a.2xlarge=12; c5a.xlarge=18; d3.2xlarge=7; d3.xlarge=10; i3.2xlarge=4; i3.large=9; i3.xlarge=0; m5.2xlarge=14; m5.large=9; m5.xlarge=18; m5a.2xlarge=10; m5a.large=0; m5a.xlarge=7; m5zn.2xlarge=13; m5zn.large=0; m5zn.xlarge=11; r5.2xlarge=0; r5.large=9; r5.xlarge=11; r5a.2xlarge=12; r5a.large=6; r5a.xlarge=6; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=8},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.05,40,0,CRITICALPATH,328.7499999999999,0, 14, 21, 11, 12, 12, 5, 5, 0, 10, 8, 10, 6, 0, 10, 22, 0, 12, 0, 8, 7, 8, 7, 8, 0, 0, 9,{c5.2xlarge=0; c5.xlarge=14; c5a.2xlarge=21; c5a.xlarge=11; d3.2xlarge=12; d3.xlarge=12; i3.2xlarge=5; i3.large=5; i3.xlarge=0; m5.2xlarge=10; m5.large=8; m5.xlarge=10; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=10; m5zn.2xlarge=22; m5zn.large=0; m5zn.xlarge=12; r5.2xlarge=0; r5.large=8; r5.xlarge=7; r5a.2xlarge=8; r5a.large=7; r5a.xlarge=8; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=9},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.05,40,0,CRITICALPATHREVERSE,451.0599999999999,0, 16, 18, 23, 8, 11, 5, 5, 0, 10, 7, 13, 5, 0, 7, 23, 0, 9, 0, 5, 8, 9, 10, 6, 0, 0, 5,{c5.2xlarge=0; c5.xlarge=16; c5a.2xlarge=18; c5a.xlarge=23; d3.2xlarge=8; d3.xlarge=11; i3.2xlarge=5; i3.large=5; i3.xlarge=0; m5.2xlarge=10; m5.large=7; m5.xlarge=13; m5a.2xlarge=5; m5a.large=0; m5a.xlarge=7; m5zn.2xlarge=23; m5zn.large=0; m5zn.xlarge=9; r5.2xlarge=0; r5.large=5; r5.xlarge=8; r5a.2xlarge=9; r5a.large=10; r5a.xlarge=6; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=5},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.05,40,0,RESHIV2,446.5999999999999,0, 7, 17, 19, 18, 10, 5, 7, 0, 12, 12, 12, 5, 0, 7, 17, 0, 13, 0, 10, 7, 2, 6, 11, 0, 0, 8,{c5.2xlarge=0; c5.xlarge=7; c5a.2xlarge=17; c5a.xlarge=19; d3.2xlarge=18; d3.xlarge=10; i3.2xlarge=5; i3.large=7; i3.xlarge=0; m5.2xlarge=12; m5.large=12; m5.xlarge=12; m5a.2xlarge=5; m5a.large=0; m5a.xlarge=7; m5zn.2xlarge=17; m5zn.large=0; m5zn.xlarge=13; r5.2xlarge=0; r5.large=10; r5.xlarge=7; r5a.2xlarge=2; r5a.large=6; r5a.xlarge=11; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=8},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
