Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
viralrecon,normal,0.1,40,0,MINMIN,537.2599999999999,0, 13, 20, 18, 12, 15, 2, 0, 0, 11, 4, 8, 21, 0, 0, 42, 0, 11, 0, 3, 11, 1, 7, 5, 0, 0, 2,{c5.2xlarge=0; c5.xlarge=13; c5a.2xlarge=20; c5a.xlarge=18; d3.2xlarge=12; d3.xlarge=15; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=11; m5.large=4; m5.xlarge=8; m5a.2xlarge=21; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=42; m5zn.large=0; m5zn.xlarge=11; r5.2xlarge=0; r5.large=3; r5.xlarge=11; r5a.2xlarge=1; r5a.large=7; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=2},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.1,40,0,MAXMIN,542.4499999999998,0, 14, 19, 23, 12, 17, 2, 0, 0, 7, 7, 13, 22, 0, 0, 15, 0, 10, 0, 7, 16, 2, 11, 3, 0, 0, 6,{c5.2xlarge=0; c5.xlarge=14; c5a.2xlarge=19; c5a.xlarge=23; d3.2xlarge=12; d3.xlarge=17; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=7; m5.large=7; m5.xlarge=13; m5a.2xlarge=22; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=15; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=0; r5.large=7; r5.xlarge=16; r5a.2xlarge=2; r5a.large=11; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=6},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.1,40,0,MCT,650.04,0, 14, 16, 21, 9, 9, 2, 0, 0, 8, 3, 9, 23, 0, 0, 45, 0, 9, 0, 2, 13, 2, 6, 3, 0, 0, 12,{c5.2xlarge=0; c5.xlarge=14; c5a.2xlarge=16; c5a.xlarge=21; d3.2xlarge=9; d3.xlarge=9; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=8; m5.large=3; m5.xlarge=9; m5a.2xlarge=23; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=45; m5zn.large=0; m5zn.xlarge=9; r5.2xlarge=0; r5.large=2; r5.xlarge=13; r5a.2xlarge=2; r5a.large=6; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=12},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.1,40,0,ROUNDROBIN,582.9799999999997,0, 10, 18, 12, 15, 6, 2, 0, 0, 6, 2, 1, 26, 0, 4, 61, 0, 0, 0, 2, 12, 2, 21, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=18; c5a.xlarge=12; d3.2xlarge=15; d3.xlarge=6; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=6; m5.large=2; m5.xlarge=1; m5a.2xlarge=26; m5a.large=0; m5a.xlarge=4; m5zn.2xlarge=61; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=2; r5.xlarge=12; r5a.2xlarge=2; r5a.large=21; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.1,40,0,STATIC,532.7899999999998,0, 11, 19, 9, 6, 22, 1, 0, 0, 7, 3, 6, 22, 0, 0, 61, 0, 9, 0, 5, 16, 0, 2, 1, 0, 0, 5,{c5.2xlarge=0; c5.xlarge=11; c5a.2xlarge=19; c5a.xlarge=9; d3.2xlarge=6; d3.xlarge=22; i3.2xlarge=1; i3.large=0; i3.xlarge=0; m5.2xlarge=7; m5.large=3; m5.xlarge=6; m5a.2xlarge=22; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=61; m5zn.large=0; m5zn.xlarge=9; r5.2xlarge=0; r5.large=5; r5.xlarge=16; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=5},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.1,40,0,NOML,331.8699999999999,0, 18, 22, 10, 10, 11, 4, 8, 0, 10, 2, 9, 9, 0, 9, 19, 0, 7, 0, 7, 10, 12, 12, 8, 0, 0, 9,{c5.2xlarge=0; c5.xlarge=18; c5a.2xlarge=22; c5a.xlarge=10; d3.2xlarge=10; d3.xlarge=11; i3.2xlarge=4; i3.large=8; i3.xlarge=0; m5.2xlarge=10; m5.large=2; m5.xlarge=9; m5a.2xlarge=9; m5a.large=0; m5a.xlarge=9; m5zn.2xlarge=19; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=7; r5.xlarge=10; r5a.2xlarge=12; r5a.large=12; r5a.xlarge=8; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=9},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.1,40,0,CUSTOMCLUSTERNOML,337.3199999999999,0, 17, 17, 7, 20, 14, 12, 8, 0, 7, 4, 13, 7, 0, 7, 18, 0, 12, 0, 7, 5, 11, 11, 4, 0, 0, 4,{c5.2xlarge=0; c5.xlarge=17; c5a.2xlarge=17; c5a.xlarge=7; d3.2xlarge=20; d3.xlarge=14; i3.2xlarge=12; i3.large=8; i3.xlarge=0; m5.2xlarge=7; m5.large=4; m5.xlarge=13; m5a.2xlarge=7; m5a.large=0; m5a.xlarge=7; m5zn.2xlarge=18; m5zn.large=0; m5zn.xlarge=12; r5.2xlarge=0; r5.large=7; r5.xlarge=5; r5a.2xlarge=11; r5a.large=11; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.1,40,0,TEXTDISTANCE,352.9799999999999,0, 10, 15, 16, 5, 7, 7, 8, 0, 9, 11, 18, 13, 0, 8, 13, 0, 9, 0, 8, 13, 12, 8, 8, 0, 0, 7,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=15; c5a.xlarge=16; d3.2xlarge=5; d3.xlarge=7; i3.2xlarge=7; i3.large=8; i3.xlarge=0; m5.2xlarge=9; m5.large=11; m5.xlarge=18; m5a.2xlarge=13; m5a.large=0; m5a.xlarge=8; m5zn.2xlarge=13; m5zn.large=0; m5zn.xlarge=9; r5.2xlarge=0; r5.large=8; r5.xlarge=13; r5a.2xlarge=12; r5a.large=8; r5a.xlarge=8; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=7},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.1,40,0,CRITICALPATH,335.9499999999998,0, 13, 25, 16, 15, 4, 10, 3, 0, 7, 5, 6, 6, 0, 7, 20, 0, 9, 0, 5, 9, 18, 5, 8, 0, 0, 14,{c5.2xlarge=0; c5.xlarge=13; c5a.2xlarge=25; c5a.xlarge=16; d3.2xlarge=15; d3.xlarge=4; i3.2xlarge=10; i3.large=3; i3.xlarge=0; m5.2xlarge=7; m5.large=5; m5.xlarge=6; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=7; m5zn.2xlarge=20; m5zn.large=0; m5zn.xlarge=9; r5.2xlarge=0; r5.large=5; r5.xlarge=9; r5a.2xlarge=18; r5a.large=5; r5a.xlarge=8; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=14},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.1,40,0,CRITICALPATHREVERSE,450.8899999999998,0, 15, 21, 14, 13, 8, 3, 8, 0, 11, 11, 6, 5, 0, 10, 25, 0, 10, 0, 14, 6, 8, 5, 8, 0, 0, 4,{c5.2xlarge=0; c5.xlarge=15; c5a.2xlarge=21; c5a.xlarge=14; d3.2xlarge=13; d3.xlarge=8; i3.2xlarge=3; i3.large=8; i3.xlarge=0; m5.2xlarge=11; m5.large=11; m5.xlarge=6; m5a.2xlarge=5; m5a.large=0; m5a.xlarge=10; m5zn.2xlarge=25; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=0; r5.large=14; r5.xlarge=6; r5a.2xlarge=8; r5a.large=5; r5a.xlarge=8; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.1,40,0,RESHIV2,447.6399999999998,0, 15, 17, 15, 11, 12, 8, 10, 0, 11, 6, 11, 8, 0, 9, 21, 0, 11, 0, 8, 8, 6, 6, 7, 0, 0, 5,{c5.2xlarge=0; c5.xlarge=15; c5a.2xlarge=17; c5a.xlarge=15; d3.2xlarge=11; d3.xlarge=12; i3.2xlarge=8; i3.large=10; i3.xlarge=0; m5.2xlarge=11; m5.large=6; m5.xlarge=11; m5a.2xlarge=8; m5a.large=0; m5a.xlarge=9; m5zn.2xlarge=21; m5zn.large=0; m5zn.xlarge=11; r5.2xlarge=0; r5.large=8; r5.xlarge=8; r5a.2xlarge=6; r5a.large=6; r5a.xlarge=7; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=5},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
