Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
viralrecon,exponential,0.0,40,0,MINMIN,535.66,0, 13, 24, 19, 5, 18, 3, 0, 0, 11, 5, 7, 10, 0, 1, 39, 0, 12, 0, 2, 20, 1, 8, 5, 0, 0, 2,{c5.2xlarge=0; c5.xlarge=13; c5a.2xlarge=24; c5a.xlarge=19; d3.2xlarge=5; d3.xlarge=18; i3.2xlarge=3; i3.large=0; i3.xlarge=0; m5.2xlarge=11; m5.large=5; m5.xlarge=7; m5a.2xlarge=10; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=39; m5zn.large=0; m5zn.xlarge=12; r5.2xlarge=0; r5.large=2; r5.xlarge=20; r5a.2xlarge=1; r5a.large=8; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=2},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,MAXMIN,565.3,0, 10, 20, 20, 13, 18, 4, 0, 0, 5, 8, 7, 22, 0, 0, 20, 0, 10, 0, 5, 18, 2, 16, 2, 0, 0, 5,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=20; c5a.xlarge=20; d3.2xlarge=13; d3.xlarge=18; i3.2xlarge=4; i3.large=0; i3.xlarge=0; m5.2xlarge=5; m5.large=8; m5.xlarge=7; m5a.2xlarge=22; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=20; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=0; r5.large=5; r5.xlarge=18; r5a.2xlarge=2; r5a.large=16; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=5},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,MCT,648.81,0, 14, 16, 17, 4, 17, 3, 0, 0, 6, 5, 6, 14, 0, 0, 44, 0, 11, 0, 2, 24, 1, 11, 5, 0, 0, 5,{c5.2xlarge=0; c5.xlarge=14; c5a.2xlarge=16; c5a.xlarge=17; d3.2xlarge=4; d3.xlarge=17; i3.2xlarge=3; i3.large=0; i3.xlarge=0; m5.2xlarge=6; m5.large=5; m5.xlarge=6; m5a.2xlarge=14; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=44; m5zn.large=0; m5zn.xlarge=11; r5.2xlarge=0; r5.large=2; r5.xlarge=24; r5a.2xlarge=1; r5a.large=11; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=5},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,ROUNDROBIN,582.9799999999997,0, 10, 18, 12, 15, 6, 2, 0, 0, 6, 2, 1, 26, 0, 4, 61, 0, 0, 0, 2, 12, 2, 21, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=18; c5a.xlarge=12; d3.2xlarge=15; d3.xlarge=6; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=6; m5.large=2; m5.xlarge=1; m5a.2xlarge=26; m5a.large=0; m5a.xlarge=4; m5zn.2xlarge=61; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=2; r5.xlarge=12; r5a.2xlarge=2; r5a.large=21; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,STATIC,702.3199999999997,0, 4, 16, 11, 3, 15, 3, 0, 0, 7, 2, 6, 11, 0, 0, 91, 0, 17, 0, 1, 15, 0, 0, 0, 0, 0, 3,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=16; c5a.xlarge=11; d3.2xlarge=3; d3.xlarge=15; i3.2xlarge=3; i3.large=0; i3.xlarge=0; m5.2xlarge=7; m5.large=2; m5.xlarge=6; m5a.2xlarge=11; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=91; m5zn.large=0; m5zn.xlarge=17; r5.2xlarge=0; r5.large=1; r5.xlarge=15; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=3},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,NOML,530.8599999999999,0, 13, 17, 11, 10, 5, 5, 9, 0, 10, 4, 15, 6, 0, 12, 27, 0, 4, 0, 7, 14, 13, 8, 7, 0, 0, 8,{c5.2xlarge=0; c5.xlarge=13; c5a.2xlarge=17; c5a.xlarge=11; d3.2xlarge=10; d3.xlarge=5; i3.2xlarge=5; i3.large=9; i3.xlarge=0; m5.2xlarge=10; m5.large=4; m5.xlarge=15; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=12; m5zn.2xlarge=27; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=0; r5.large=7; r5.xlarge=14; r5a.2xlarge=13; r5a.large=8; r5a.xlarge=7; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=8},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,CUSTOMCLUSTERNOML,337.7299999999999,0, 10, 26, 10, 19, 12, 8, 5, 0, 9, 4, 9, 13, 0, 11, 10, 0, 9, 0, 2, 13, 6, 10, 7, 0, 0, 12,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=26; c5a.xlarge=10; d3.2xlarge=19; d3.xlarge=12; i3.2xlarge=8; i3.large=5; i3.xlarge=0; m5.2xlarge=9; m5.large=4; m5.xlarge=9; m5a.2xlarge=13; m5a.large=0; m5a.xlarge=11; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=9; r5.2xlarge=0; r5.large=2; r5.xlarge=13; r5a.2xlarge=6; r5a.large=10; r5a.xlarge=7; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=12},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,TEXTDISTANCE,346.9499999999998,0, 13, 8, 13, 6, 6, 7, 8, 0, 20, 14, 14, 9, 0, 11, 10, 0, 8, 0, 7, 12, 13, 7, 9, 0, 0, 10,{c5.2xlarge=0; c5.xlarge=13; c5a.2xlarge=8; c5a.xlarge=13; d3.2xlarge=6; d3.xlarge=6; i3.2xlarge=7; i3.large=8; i3.xlarge=0; m5.2xlarge=20; m5.large=14; m5.xlarge=14; m5a.2xlarge=9; m5a.large=0; m5a.xlarge=11; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=8; r5.2xlarge=0; r5.large=7; r5.xlarge=12; r5a.2xlarge=13; r5a.large=7; r5a.xlarge=9; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=10},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,CRITICALPATH,337.36999999999995,0, 16, 20, 19, 11, 8, 6, 3, 0, 10, 6, 8, 9, 0, 6, 19, 0, 11, 0, 8, 12, 10, 4, 8, 0, 0, 12,{c5.2xlarge=0; c5.xlarge=16; c5a.2xlarge=20; c5a.xlarge=19; d3.2xlarge=11; d3.xlarge=8; i3.2xlarge=6; i3.large=3; i3.xlarge=0; m5.2xlarge=10; m5.large=6; m5.xlarge=8; m5a.2xlarge=9; m5a.large=0; m5a.xlarge=6; m5zn.2xlarge=19; m5zn.large=0; m5zn.xlarge=11; r5.2xlarge=0; r5.large=8; r5.xlarge=12; r5a.2xlarge=10; r5a.large=4; r5a.xlarge=8; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=12},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,CRITICALPATHREVERSE,450.87,0, 16, 17, 17, 14, 13, 5, 5, 0, 9, 9, 10, 8, 0, 4, 27, 0, 7, 0, 10, 7, 9, 4, 10, 0, 0, 5,{c5.2xlarge=0; c5.xlarge=16; c5a.2xlarge=17; c5a.xlarge=17; d3.2xlarge=14; d3.xlarge=13; i3.2xlarge=5; i3.large=5; i3.xlarge=0; m5.2xlarge=9; m5.large=9; m5.xlarge=10; m5a.2xlarge=8; m5a.large=0; m5a.xlarge=4; m5zn.2xlarge=27; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=10; r5.xlarge=7; r5a.2xlarge=9; r5a.large=4; r5a.xlarge=10; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=5},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,RESHIV2,446.43999999999994,0, 10, 16, 17, 11, 11, 7, 10, 0, 8, 10, 11, 12, 0, 5, 21, 0, 14, 0, 5, 7, 7, 6, 9, 0, 0, 8,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=16; c5a.xlarge=17; d3.2xlarge=11; d3.xlarge=11; i3.2xlarge=7; i3.large=10; i3.xlarge=0; m5.2xlarge=8; m5.large=10; m5.xlarge=11; m5a.2xlarge=12; m5a.large=0; m5a.xlarge=5; m5zn.2xlarge=21; m5zn.large=0; m5zn.xlarge=14; r5.2xlarge=0; r5.large=5; r5.xlarge=7; r5a.2xlarge=7; r5a.large=6; r5a.xlarge=9; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=8},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
