Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
viralrecon,exponential,0.15,40,0,MINMIN,762.1899999999999,0, 6, 20, 12, 10, 16, 4, 1, 0, 8, 2, 11, 17, 0, 3, 47, 0, 7, 0, 3, 17, 5, 8, 5, 0, 0, 4,{c5.2xlarge=0; c5.xlarge=6; c5a.2xlarge=20; c5a.xlarge=12; d3.2xlarge=10; d3.xlarge=16; i3.2xlarge=4; i3.large=1; i3.xlarge=0; m5.2xlarge=8; m5.large=2; m5.xlarge=11; m5a.2xlarge=17; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=47; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=3; r5.xlarge=17; r5a.2xlarge=5; r5a.large=8; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.15,40,0,MAXMIN,648.9599999999998,0, 7, 16, 23, 18, 11, 2, 1, 0, 10, 7, 11, 15, 0, 3, 38, 0, 9, 0, 2, 12, 4, 8, 5, 0, 0, 4,{c5.2xlarge=0; c5.xlarge=7; c5a.2xlarge=16; c5a.xlarge=23; d3.2xlarge=18; d3.xlarge=11; i3.2xlarge=2; i3.large=1; i3.xlarge=0; m5.2xlarge=10; m5.large=7; m5.xlarge=11; m5a.2xlarge=15; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=38; m5zn.large=0; m5zn.xlarge=9; r5.2xlarge=0; r5.large=2; r5.xlarge=12; r5a.2xlarge=4; r5a.large=8; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.15,40,0,MCT,541.62,0, 9, 24, 18, 18, 6, 4, 1, 0, 10, 3, 8, 32, 0, 1, 15, 0, 7, 0, 4, 18, 7, 9, 5, 0, 0, 7,{c5.2xlarge=0; c5.xlarge=9; c5a.2xlarge=24; c5a.xlarge=18; d3.2xlarge=18; d3.xlarge=6; i3.2xlarge=4; i3.large=1; i3.xlarge=0; m5.2xlarge=10; m5.large=3; m5.xlarge=8; m5a.2xlarge=32; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=15; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=4; r5.xlarge=18; r5a.2xlarge=7; r5a.large=9; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=7},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.15,40,0,ROUNDROBIN,582.9799999999997,0, 10, 18, 12, 15, 6, 2, 0, 0, 6, 2, 1, 26, 0, 4, 61, 0, 0, 0, 2, 12, 2, 21, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=18; c5a.xlarge=12; d3.2xlarge=15; d3.xlarge=6; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=6; m5.large=2; m5.xlarge=1; m5a.2xlarge=26; m5a.large=0; m5a.xlarge=4; m5zn.2xlarge=61; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=2; r5.xlarge=12; r5a.2xlarge=2; r5a.large=21; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.15,40,0,STATIC,649.3899999999998,0, 5, 10, 17, 8, 8, 3, 3, 0, 12, 4, 7, 6, 0, 3, 71, 0, 7, 0, 2, 14, 2, 10, 5, 0, 0, 8,{c5.2xlarge=0; c5.xlarge=5; c5a.2xlarge=10; c5a.xlarge=17; d3.2xlarge=8; d3.xlarge=8; i3.2xlarge=3; i3.large=3; i3.xlarge=0; m5.2xlarge=12; m5.large=4; m5.xlarge=7; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=71; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=2; r5.xlarge=14; r5a.2xlarge=2; r5a.large=10; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=8},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.15,40,0,NOML,331.98999999999984,0, 16, 22, 9, 12, 13, 7, 5, 0, 9, 4, 7, 10, 0, 4, 21, 0, 9, 0, 11, 10, 14, 5, 7, 0, 0, 11,{c5.2xlarge=0; c5.xlarge=16; c5a.2xlarge=22; c5a.xlarge=9; d3.2xlarge=12; d3.xlarge=13; i3.2xlarge=7; i3.large=5; i3.xlarge=0; m5.2xlarge=9; m5.large=4; m5.xlarge=7; m5a.2xlarge=10; m5a.large=0; m5a.xlarge=4; m5zn.2xlarge=21; m5zn.large=0; m5zn.xlarge=9; r5.2xlarge=0; r5.large=11; r5.xlarge=10; r5a.2xlarge=14; r5a.large=5; r5a.xlarge=7; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=11},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.15,40,0,CUSTOMCLUSTERNOML,337.6,0, 14, 22, 8, 24, 8, 8, 8, 0, 9, 2, 11, 8, 0, 10, 16, 0, 7, 0, 6, 12, 7, 14, 8, 0, 0, 3,{c5.2xlarge=0; c5.xlarge=14; c5a.2xlarge=22; c5a.xlarge=8; d3.2xlarge=24; d3.xlarge=8; i3.2xlarge=8; i3.large=8; i3.xlarge=0; m5.2xlarge=9; m5.large=2; m5.xlarge=11; m5a.2xlarge=8; m5a.large=0; m5a.xlarge=10; m5zn.2xlarge=16; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=6; r5.xlarge=12; r5a.2xlarge=7; r5a.large=14; r5a.xlarge=8; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=3},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.15,40,0,TEXTDISTANCE,352.9199999999999,0, 8, 13, 15, 9, 5, 8, 9, 0, 10, 10, 15, 12, 0, 13, 16, 0, 10, 0, 5, 16, 6, 11, 7, 0, 0, 7,{c5.2xlarge=0; c5.xlarge=8; c5a.2xlarge=13; c5a.xlarge=15; d3.2xlarge=9; d3.xlarge=5; i3.2xlarge=8; i3.large=9; i3.xlarge=0; m5.2xlarge=10; m5.large=10; m5.xlarge=15; m5a.2xlarge=12; m5a.large=0; m5a.xlarge=13; m5zn.2xlarge=16; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=0; r5.large=5; r5.xlarge=16; r5a.2xlarge=6; r5a.large=11; r5a.xlarge=7; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=7},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.15,40,0,CRITICALPATH,326.4599999999999,0, 11, 20, 10, 10, 8, 10, 7, 0, 8, 8, 9, 11, 0, 9, 25, 0, 8, 0, 6, 7, 8, 8, 7, 0, 0, 15,{c5.2xlarge=0; c5.xlarge=11; c5a.2xlarge=20; c5a.xlarge=10; d3.2xlarge=10; d3.xlarge=8; i3.2xlarge=10; i3.large=7; i3.xlarge=0; m5.2xlarge=8; m5.large=8; m5.xlarge=9; m5a.2xlarge=11; m5a.large=0; m5a.xlarge=9; m5zn.2xlarge=25; m5zn.large=0; m5zn.xlarge=8; r5.2xlarge=0; r5.large=6; r5.xlarge=7; r5a.2xlarge=8; r5a.large=8; r5a.xlarge=7; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=15},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.15,40,0,CRITICALPATHREVERSE,451.30999999999995,0, 14, 16, 16, 14, 11, 6, 10, 0, 13, 6, 11, 3, 0, 12, 22, 0, 14, 0, 10, 9, 2, 5, 8, 0, 0, 3,{c5.2xlarge=0; c5.xlarge=14; c5a.2xlarge=16; c5a.xlarge=16; d3.2xlarge=14; d3.xlarge=11; i3.2xlarge=6; i3.large=10; i3.xlarge=0; m5.2xlarge=13; m5.large=6; m5.xlarge=11; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=12; m5zn.2xlarge=22; m5zn.large=0; m5zn.xlarge=14; r5.2xlarge=0; r5.large=10; r5.xlarge=9; r5a.2xlarge=2; r5a.large=5; r5a.xlarge=8; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=3},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.15,40,0,RESHIV2,552.8999999999999,0, 16, 21, 11, 8, 6, 6, 11, 0, 9, 9, 13, 6, 0, 8, 19, 0, 4, 0, 10, 8, 9, 11, 10, 0, 0, 10,{c5.2xlarge=0; c5.xlarge=16; c5a.2xlarge=21; c5a.xlarge=11; d3.2xlarge=8; d3.xlarge=6; i3.2xlarge=6; i3.large=11; i3.xlarge=0; m5.2xlarge=9; m5.large=9; m5.xlarge=13; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=8; m5zn.2xlarge=19; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=0; r5.large=10; r5.xlarge=8; r5a.2xlarge=9; r5a.large=11; r5a.xlarge=10; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=10},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
