Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
viralrecon,exponential,0.05,40,0,MINMIN,536.5199999999999,0, 10, 28, 20, 13, 8, 1, 1, 0, 7, 5, 10, 21, 0, 1, 39, 0, 10, 0, 6, 10, 1, 8, 5, 0, 0, 2,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=28; c5a.xlarge=20; d3.2xlarge=13; d3.xlarge=8; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=7; m5.large=5; m5.xlarge=10; m5a.2xlarge=21; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=39; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=0; r5.large=6; r5.xlarge=10; r5a.2xlarge=1; r5a.large=8; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=2},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.05,40,0,MAXMIN,540.79,0, 12, 29, 18, 14, 14, 3, 0, 0, 9, 7, 9, 22, 0, 1, 13, 0, 8, 0, 3, 17, 3, 12, 5, 0, 0, 7,{c5.2xlarge=0; c5.xlarge=12; c5a.2xlarge=29; c5a.xlarge=18; d3.2xlarge=14; d3.xlarge=14; i3.2xlarge=3; i3.large=0; i3.xlarge=0; m5.2xlarge=9; m5.large=7; m5.xlarge=9; m5a.2xlarge=22; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=13; m5zn.large=0; m5zn.xlarge=8; r5.2xlarge=0; r5.large=3; r5.xlarge=17; r5a.2xlarge=3; r5a.large=12; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=7},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.05,40,0,MCT,566.2199999999998,0, 10, 15, 18, 15, 17, 2, 2, 0, 7, 2, 11, 12, 0, 0, 44, 0, 12, 0, 2, 15, 2, 11, 3, 0, 0, 5,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=15; c5a.xlarge=18; d3.2xlarge=15; d3.xlarge=17; i3.2xlarge=2; i3.large=2; i3.xlarge=0; m5.2xlarge=7; m5.large=2; m5.xlarge=11; m5a.2xlarge=12; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=44; m5zn.large=0; m5zn.xlarge=12; r5.2xlarge=0; r5.large=2; r5.xlarge=15; r5a.2xlarge=2; r5a.large=11; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=5},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.05,40,0,ROUNDROBIN,582.9799999999997,0, 10, 18, 12, 15, 6, 2, 0, 0, 6, 2, 1, 26, 0, 4, 61, 0, 0, 0, 2, 12, 2, 21, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=18; c5a.xlarge=12; d3.2xlarge=15; d3.xlarge=6; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=6; m5.large=2; m5.xlarge=1; m5a.2xlarge=26; m5a.large=0; m5a.xlarge=4; m5zn.2xlarge=61; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=2; r5.xlarge=12; r5a.2xlarge=2; r5a.large=21; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.05,40,0,STATIC,517.8499999999999,0, 8, 17, 8, 4, 12, 3, 0, 0, 8, 2, 5, 9, 0, 0, 89, 0, 9, 0, 3, 14, 0, 3, 0, 0, 0, 11,{c5.2xlarge=0; c5.xlarge=8; c5a.2xlarge=17; c5a.xlarge=8; d3.2xlarge=4; d3.xlarge=12; i3.2xlarge=3; i3.large=0; i3.xlarge=0; m5.2xlarge=8; m5.large=2; m5.xlarge=5; m5a.2xlarge=9; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=89; m5zn.large=0; m5zn.xlarge=9; r5.2xlarge=0; r5.large=3; r5.xlarge=14; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=11},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.05,40,0,NOML,328.45999999999987,0, 17, 20, 8, 10, 6, 7, 4, 0, 10, 9, 10, 6, 0, 8, 21, 0, 6, 0, 10, 9, 2, 17, 12, 0, 0, 13,{c5.2xlarge=0; c5.xlarge=17; c5a.2xlarge=20; c5a.xlarge=8; d3.2xlarge=10; d3.xlarge=6; i3.2xlarge=7; i3.large=4; i3.xlarge=0; m5.2xlarge=10; m5.large=9; m5.xlarge=10; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=8; m5zn.2xlarge=21; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=0; r5.large=10; r5.xlarge=9; r5a.2xlarge=2; r5a.large=17; r5a.xlarge=12; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=13},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.05,40,0,CUSTOMCLUSTERNOML,532.5499999999998,0, 10, 16, 9, 22, 14, 7, 3, 0, 17, 6, 13, 12, 0, 2, 14, 0, 8, 0, 8, 13, 7, 9, 8, 0, 0, 7,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=16; c5a.xlarge=9; d3.2xlarge=22; d3.xlarge=14; i3.2xlarge=7; i3.large=3; i3.xlarge=0; m5.2xlarge=17; m5.large=6; m5.xlarge=13; m5a.2xlarge=12; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=14; m5zn.large=0; m5zn.xlarge=8; r5.2xlarge=0; r5.large=8; r5.xlarge=13; r5a.2xlarge=7; r5a.large=9; r5a.xlarge=8; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=7},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.05,40,0,TEXTDISTANCE,347.09999999999985,0, 12, 9, 15, 9, 5, 10, 7, 0, 14, 10, 18, 9, 0, 9, 12, 0, 9, 0, 9, 17, 10, 7, 9, 0, 0, 5,{c5.2xlarge=0; c5.xlarge=12; c5a.2xlarge=9; c5a.xlarge=15; d3.2xlarge=9; d3.xlarge=5; i3.2xlarge=10; i3.large=7; i3.xlarge=0; m5.2xlarge=14; m5.large=10; m5.xlarge=18; m5a.2xlarge=9; m5a.large=0; m5a.xlarge=9; m5zn.2xlarge=12; m5zn.large=0; m5zn.xlarge=9; r5.2xlarge=0; r5.large=9; r5.xlarge=17; r5a.2xlarge=10; r5a.large=7; r5a.xlarge=9; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=5},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.05,40,0,CRITICALPATH,336.14999999999986,0, 14, 22, 18, 12, 9, 8, 4, 0, 10, 8, 10, 6, 0, 9, 13, 0, 14, 0, 9, 9, 7, 8, 6, 0, 0, 10,{c5.2xlarge=0; c5.xlarge=14; c5a.2xlarge=22; c5a.xlarge=18; d3.2xlarge=12; d3.xlarge=9; i3.2xlarge=8; i3.large=4; i3.xlarge=0; m5.2xlarge=10; m5.large=8; m5.xlarge=10; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=9; m5zn.2xlarge=13; m5zn.large=0; m5zn.xlarge=14; r5.2xlarge=0; r5.large=9; r5.xlarge=9; r5a.2xlarge=7; r5a.large=8; r5a.xlarge=6; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=10},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.05,40,0,CRITICALPATHREVERSE,450.89999999999986,0, 12, 16, 14, 12, 8, 3, 9, 0, 9, 8, 10, 8, 0, 6, 22, 0, 11, 0, 7, 14, 11, 16, 7, 0, 0, 3,{c5.2xlarge=0; c5.xlarge=12; c5a.2xlarge=16; c5a.xlarge=14; d3.2xlarge=12; d3.xlarge=8; i3.2xlarge=3; i3.large=9; i3.xlarge=0; m5.2xlarge=9; m5.large=8; m5.xlarge=10; m5a.2xlarge=8; m5a.large=0; m5a.xlarge=6; m5zn.2xlarge=22; m5zn.large=0; m5zn.xlarge=11; r5.2xlarge=0; r5.large=7; r5.xlarge=14; r5a.2xlarge=11; r5a.large=16; r5a.xlarge=7; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=3},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.05,40,0,RESHIV2,446.11999999999983,0, 12, 19, 16, 10, 10, 4, 8, 0, 8, 7, 10, 10, 0, 15, 20, 0, 9, 0, 7, 13, 6, 9, 4, 0, 0, 9,{c5.2xlarge=0; c5.xlarge=12; c5a.2xlarge=19; c5a.xlarge=16; d3.2xlarge=10; d3.xlarge=10; i3.2xlarge=4; i3.large=8; i3.xlarge=0; m5.2xlarge=8; m5.large=7; m5.xlarge=10; m5a.2xlarge=10; m5a.large=0; m5a.xlarge=15; m5zn.2xlarge=20; m5zn.large=0; m5zn.xlarge=9; r5.2xlarge=0; r5.large=7; r5.xlarge=13; r5a.2xlarge=6; r5a.large=9; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=9},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
