Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
methylseq,exponential,0.2,40,0,MINMIN,1624.379999999998,0, 53, 83, 56, 71, 47, 24, 22, 0, 54, 22, 73, 50, 0, 46, 82, 0, 29, 0, 25, 57, 70, 64, 46, 0, 0, 26,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=83; c5a.xlarge=56; d3.2xlarge=71; d3.xlarge=47; i3.2xlarge=24; i3.large=22; i3.xlarge=0; m5.2xlarge=54; m5.large=22; m5.xlarge=73; m5a.2xlarge=50; m5a.large=0; m5a.xlarge=46; m5zn.2xlarge=82; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=25; r5.xlarge=57; r5a.2xlarge=70; r5a.large=64; r5a.xlarge=46; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=26},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.2,40,0,MAXMIN,1614.819999999998,0, 53, 85, 57, 76, 50, 25, 22, 0, 52, 21, 75, 48, 0, 47, 83, 0, 28, 0, 21, 52, 66, 63, 49, 0, 0, 27,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=85; c5a.xlarge=57; d3.2xlarge=76; d3.xlarge=50; i3.2xlarge=25; i3.large=22; i3.xlarge=0; m5.2xlarge=52; m5.large=21; m5.xlarge=75; m5a.2xlarge=48; m5a.large=0; m5a.xlarge=47; m5zn.2xlarge=83; m5zn.large=0; m5zn.xlarge=28; r5.2xlarge=0; r5.large=21; r5.xlarge=52; r5a.2xlarge=66; r5a.large=63; r5a.xlarge=49; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=27},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.2,40,0,MCT,1608.6299999999978,0, 54, 81, 57, 79, 50, 21, 24, 0, 51, 21, 74, 44, 0, 48, 83, 0, 29, 0, 26, 50, 72, 68, 41, 0, 0, 27,{c5.2xlarge=0; c5.xlarge=54; c5a.2xlarge=81; c5a.xlarge=57; d3.2xlarge=79; d3.xlarge=50; i3.2xlarge=21; i3.large=24; i3.xlarge=0; m5.2xlarge=51; m5.large=21; m5.xlarge=74; m5a.2xlarge=44; m5a.large=0; m5a.xlarge=48; m5zn.2xlarge=83; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=26; r5.xlarge=50; r5a.2xlarge=72; r5a.large=68; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=27},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.2,40,0,ROUNDROBIN,1605.7699999999973,0, 53, 84, 52, 76, 51, 22, 21, 0, 49, 24, 78, 45, 0, 47, 88, 0, 27, 0, 24, 51, 71, 70, 42, 0, 0, 25,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=84; c5a.xlarge=52; d3.2xlarge=76; d3.xlarge=51; i3.2xlarge=22; i3.large=21; i3.xlarge=0; m5.2xlarge=49; m5.large=24; m5.xlarge=78; m5a.2xlarge=45; m5a.large=0; m5a.xlarge=47; m5zn.2xlarge=88; m5zn.large=0; m5zn.xlarge=27; r5.2xlarge=0; r5.large=24; r5.xlarge=51; r5a.2xlarge=71; r5a.large=70; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=25},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.2,40,0,STATIC,3439.459999999993,0, 52, 92, 51, 75, 46, 33, 27, 0, 47, 22, 68, 41, 0, 42, 92, 0, 22, 0, 26, 50, 72, 72, 41, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=52; c5a.2xlarge=92; c5a.xlarge=51; d3.2xlarge=75; d3.xlarge=46; i3.2xlarge=33; i3.large=27; i3.xlarge=0; m5.2xlarge=47; m5.large=22; m5.xlarge=68; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=42; m5zn.2xlarge=92; m5zn.large=0; m5zn.xlarge=22; r5.2xlarge=0; r5.large=26; r5.xlarge=50; r5a.2xlarge=72; r5a.large=72; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.2,40,0,NOML,1612.509999999998,0, 54, 82, 51, 73, 50, 26, 22, 0, 53, 24, 77, 46, 0, 44, 90, 0, 29, 0, 24, 46, 67, 66, 47, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=54; c5a.2xlarge=82; c5a.xlarge=51; d3.2xlarge=73; d3.xlarge=50; i3.2xlarge=26; i3.large=22; i3.xlarge=0; m5.2xlarge=53; m5.large=24; m5.xlarge=77; m5a.2xlarge=46; m5a.large=0; m5a.xlarge=44; m5zn.2xlarge=90; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=24; r5.xlarge=46; r5a.2xlarge=67; r5a.large=66; r5a.xlarge=47; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.2,40,0,CUSTOMCLUSTERNOML,1600.4599999999978,0, 50, 81, 54, 77, 50, 23, 20, 0, 47, 21, 82, 47, 0, 51, 87, 0, 27, 0, 28, 51, 68, 64, 46, 0, 0, 26,{c5.2xlarge=0; c5.xlarge=50; c5a.2xlarge=81; c5a.xlarge=54; d3.2xlarge=77; d3.xlarge=50; i3.2xlarge=23; i3.large=20; i3.xlarge=0; m5.2xlarge=47; m5.large=21; m5.xlarge=82; m5a.2xlarge=47; m5a.large=0; m5a.xlarge=51; m5zn.2xlarge=87; m5zn.large=0; m5zn.xlarge=27; r5.2xlarge=0; r5.large=28; r5.xlarge=51; r5a.2xlarge=68; r5a.large=64; r5a.xlarge=46; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=26},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.2,40,0,TEXTDISTANCE,1605.2899999999972,0, 54, 75, 55, 76, 51, 29, 24, 0, 51, 27, 78, 44, 0, 47, 89, 0, 28, 0, 23, 46, 70, 64, 43, 0, 0, 26,{c5.2xlarge=0; c5.xlarge=54; c5a.2xlarge=75; c5a.xlarge=55; d3.2xlarge=76; d3.xlarge=51; i3.2xlarge=29; i3.large=24; i3.xlarge=0; m5.2xlarge=51; m5.large=27; m5.xlarge=78; m5a.2xlarge=44; m5a.large=0; m5a.xlarge=47; m5zn.2xlarge=89; m5zn.large=0; m5zn.xlarge=28; r5.2xlarge=0; r5.large=23; r5.xlarge=46; r5a.2xlarge=70; r5a.large=64; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=26},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.2,40,0,CRITICALPATH,1602.0499999999977,0, 52, 79, 58, 72, 48, 22, 20, 0, 56, 23, 76, 51, 0, 47, 90, 0, 29, 0, 21, 50, 67, 67, 47, 0, 0, 25,{c5.2xlarge=0; c5.xlarge=52; c5a.2xlarge=79; c5a.xlarge=58; d3.2xlarge=72; d3.xlarge=48; i3.2xlarge=22; i3.large=20; i3.xlarge=0; m5.2xlarge=56; m5.large=23; m5.xlarge=76; m5a.2xlarge=51; m5a.large=0; m5a.xlarge=47; m5zn.2xlarge=90; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=21; r5.xlarge=50; r5a.2xlarge=67; r5a.large=67; r5a.xlarge=47; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=25},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.2,40,0,CRITICALPATHREVERSE,1602.6599999999974,0, 53, 81, 51, 80, 55, 23, 23, 0, 51, 22, 71, 46, 0, 42, 91, 0, 29, 0, 24, 48, 75, 66, 42, 0, 0, 27,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=81; c5a.xlarge=51; d3.2xlarge=80; d3.xlarge=55; i3.2xlarge=23; i3.large=23; i3.xlarge=0; m5.2xlarge=51; m5.large=22; m5.xlarge=71; m5a.2xlarge=46; m5a.large=0; m5a.xlarge=42; m5zn.2xlarge=91; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=24; r5.xlarge=48; r5a.2xlarge=75; r5a.large=66; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=27},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.2,40,0,RESHIV2,1602.0599999999974,0, 53, 78, 57, 74, 49, 23, 23, 0, 53, 22, 77, 47, 0, 45, 90, 0, 31, 0, 25, 50, 69, 69, 39, 0, 0, 26,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=78; c5a.xlarge=57; d3.2xlarge=74; d3.xlarge=49; i3.2xlarge=23; i3.large=23; i3.xlarge=0; m5.2xlarge=53; m5.large=22; m5.xlarge=77; m5a.2xlarge=47; m5a.large=0; m5a.xlarge=45; m5zn.2xlarge=90; m5zn.large=0; m5zn.xlarge=31; r5.2xlarge=0; r5.large=25; r5.xlarge=50; r5a.2xlarge=69; r5a.large=69; r5a.xlarge=39; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=26},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
