Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
methylseq,exponential,0.15,40,0,MINMIN,1604.4699999999978,0, 51, 82, 56, 76, 54, 21, 23, 0, 52, 21, 80, 44, 0, 44, 89, 0, 29, 0, 24, 47, 66, 64, 46, 0, 0, 31,{c5.2xlarge=0; c5.xlarge=51; c5a.2xlarge=82; c5a.xlarge=56; d3.2xlarge=76; d3.xlarge=54; i3.2xlarge=21; i3.large=23; i3.xlarge=0; m5.2xlarge=52; m5.large=21; m5.xlarge=80; m5a.2xlarge=44; m5a.large=0; m5a.xlarge=44; m5zn.2xlarge=89; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=24; r5.xlarge=47; r5a.2xlarge=66; r5a.large=64; r5a.xlarge=46; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=31},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.15,40,0,MAXMIN,1616.0599999999974,0, 55, 78, 59, 76, 49, 22, 21, 0, 53, 20, 77, 46, 0, 46, 84, 0, 28, 0, 25, 52, 71, 70, 43, 0, 0, 25,{c5.2xlarge=0; c5.xlarge=55; c5a.2xlarge=78; c5a.xlarge=59; d3.2xlarge=76; d3.xlarge=49; i3.2xlarge=22; i3.large=21; i3.xlarge=0; m5.2xlarge=53; m5.large=20; m5.xlarge=77; m5a.2xlarge=46; m5a.large=0; m5a.xlarge=46; m5zn.2xlarge=84; m5zn.large=0; m5zn.xlarge=28; r5.2xlarge=0; r5.large=25; r5.xlarge=52; r5a.2xlarge=71; r5a.large=70; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=25},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.15,40,0,MCT,1613.9799999999975,0, 51, 79, 55, 71, 50, 24, 25, 0, 49, 24, 76, 45, 0, 48, 87, 0, 30, 0, 27, 50, 66, 76, 41, 0, 0, 26,{c5.2xlarge=0; c5.xlarge=51; c5a.2xlarge=79; c5a.xlarge=55; d3.2xlarge=71; d3.xlarge=50; i3.2xlarge=24; i3.large=25; i3.xlarge=0; m5.2xlarge=49; m5.large=24; m5.xlarge=76; m5a.2xlarge=45; m5a.large=0; m5a.xlarge=48; m5zn.2xlarge=87; m5zn.large=0; m5zn.xlarge=30; r5.2xlarge=0; r5.large=27; r5.xlarge=50; r5a.2xlarge=66; r5a.large=76; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=26},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.15,40,0,ROUNDROBIN,1605.7699999999973,0, 53, 84, 52, 76, 51, 22, 21, 0, 49, 24, 78, 45, 0, 47, 88, 0, 27, 0, 24, 51, 71, 70, 42, 0, 0, 25,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=84; c5a.xlarge=52; d3.2xlarge=76; d3.xlarge=51; i3.2xlarge=22; i3.large=21; i3.xlarge=0; m5.2xlarge=49; m5.large=24; m5.xlarge=78; m5a.2xlarge=45; m5a.large=0; m5a.xlarge=47; m5zn.2xlarge=88; m5zn.large=0; m5zn.xlarge=27; r5.2xlarge=0; r5.large=24; r5.xlarge=51; r5a.2xlarge=71; r5a.large=70; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=25},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.15,40,0,STATIC,2632.669999999996,0, 53, 86, 55, 73, 48, 31, 26, 0, 47, 25, 73, 45, 0, 46, 93, 0, 22, 0, 25, 46, 66, 64, 48, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=86; c5a.xlarge=55; d3.2xlarge=73; d3.xlarge=48; i3.2xlarge=31; i3.large=26; i3.xlarge=0; m5.2xlarge=47; m5.large=25; m5.xlarge=73; m5a.2xlarge=45; m5a.large=0; m5a.xlarge=46; m5zn.2xlarge=93; m5zn.large=0; m5zn.xlarge=22; r5.2xlarge=0; r5.large=25; r5.xlarge=46; r5a.2xlarge=66; r5a.large=64; r5a.xlarge=48; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.15,40,0,NOML,1612.419999999998,0, 53, 82, 57, 71, 51, 24, 23, 0, 48, 22, 74, 50, 0, 48, 86, 0, 29, 0, 25, 48, 68, 71, 42, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=82; c5a.xlarge=57; d3.2xlarge=71; d3.xlarge=51; i3.2xlarge=24; i3.large=23; i3.xlarge=0; m5.2xlarge=48; m5.large=22; m5.xlarge=74; m5a.2xlarge=50; m5a.large=0; m5a.xlarge=48; m5zn.2xlarge=86; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=25; r5.xlarge=48; r5a.2xlarge=68; r5a.large=71; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.15,40,0,CUSTOMCLUSTERNOML,1600.0999999999976,0, 49, 75, 57, 78, 53, 25, 23, 0, 56, 24, 81, 41, 0, 48, 83, 0, 30, 0, 22, 50, 70, 63, 46, 0, 0, 26,{c5.2xlarge=0; c5.xlarge=49; c5a.2xlarge=75; c5a.xlarge=57; d3.2xlarge=78; d3.xlarge=53; i3.2xlarge=25; i3.large=23; i3.xlarge=0; m5.2xlarge=56; m5.large=24; m5.xlarge=81; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=48; m5zn.2xlarge=83; m5zn.large=0; m5zn.xlarge=30; r5.2xlarge=0; r5.large=22; r5.xlarge=50; r5a.2xlarge=70; r5a.large=63; r5a.xlarge=46; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=26},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.15,40,0,TEXTDISTANCE,1606.2699999999973,0, 47, 82, 57, 81, 49, 25, 22, 0, 48, 23, 76, 49, 0, 49, 88, 0, 26, 0, 25, 50, 67, 66, 40, 0, 0, 30,{c5.2xlarge=0; c5.xlarge=47; c5a.2xlarge=82; c5a.xlarge=57; d3.2xlarge=81; d3.xlarge=49; i3.2xlarge=25; i3.large=22; i3.xlarge=0; m5.2xlarge=48; m5.large=23; m5.xlarge=76; m5a.2xlarge=49; m5a.large=0; m5a.xlarge=49; m5zn.2xlarge=88; m5zn.large=0; m5zn.xlarge=26; r5.2xlarge=0; r5.large=25; r5.xlarge=50; r5a.2xlarge=67; r5a.large=66; r5a.xlarge=40; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=30},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.15,40,0,CRITICALPATH,1602.7399999999975,0, 48, 79, 57, 76, 51, 22, 20, 0, 51, 22, 83, 50, 0, 50, 88, 0, 30, 0, 23, 49, 64, 67, 40, 0, 0, 30,{c5.2xlarge=0; c5.xlarge=48; c5a.2xlarge=79; c5a.xlarge=57; d3.2xlarge=76; d3.xlarge=51; i3.2xlarge=22; i3.large=20; i3.xlarge=0; m5.2xlarge=51; m5.large=22; m5.xlarge=83; m5a.2xlarge=50; m5a.large=0; m5a.xlarge=50; m5zn.2xlarge=88; m5zn.large=0; m5zn.xlarge=30; r5.2xlarge=0; r5.large=23; r5.xlarge=49; r5a.2xlarge=64; r5a.large=67; r5a.xlarge=40; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=30},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.15,40,0,CRITICALPATHREVERSE,1602.2299999999975,0, 58, 77, 53, 77, 51, 20, 19, 0, 48, 22, 75, 52, 0, 44, 86, 0, 32, 0, 25, 49, 72, 69, 45, 0, 0, 26,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=77; c5a.xlarge=53; d3.2xlarge=77; d3.xlarge=51; i3.2xlarge=20; i3.large=19; i3.xlarge=0; m5.2xlarge=48; m5.large=22; m5.xlarge=75; m5a.2xlarge=52; m5a.large=0; m5a.xlarge=44; m5zn.2xlarge=86; m5zn.large=0; m5zn.xlarge=32; r5.2xlarge=0; r5.large=25; r5.xlarge=49; r5a.2xlarge=72; r5a.large=69; r5a.xlarge=45; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=26},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.15,40,0,RESHIV2,1602.2599999999977,0, 51, 78, 54, 82, 51, 22, 21, 0, 53, 26, 75, 45, 0, 47, 89, 0, 31, 0, 24, 50, 63, 67, 45, 0, 0, 26,{c5.2xlarge=0; c5.xlarge=51; c5a.2xlarge=78; c5a.xlarge=54; d3.2xlarge=82; d3.xlarge=51; i3.2xlarge=22; i3.large=21; i3.xlarge=0; m5.2xlarge=53; m5.large=26; m5.xlarge=75; m5a.2xlarge=45; m5a.large=0; m5a.xlarge=47; m5zn.2xlarge=89; m5zn.large=0; m5zn.xlarge=31; r5.2xlarge=0; r5.large=24; r5.xlarge=50; r5a.2xlarge=63; r5a.large=67; r5a.xlarge=45; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=26},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.15,40,0,RESHIV3,1603.779999999998,0, 54, 80, 51, 77, 50, 24, 22, 0, 53, 25, 75, 47, 0, 45, 88, 0, 29, 0, 22, 48, 71, 63, 46, 0, 0, 30,{c5.2xlarge=0; c5.xlarge=54; c5a.2xlarge=80; c5a.xlarge=51; d3.2xlarge=77; d3.xlarge=50; i3.2xlarge=24; i3.large=22; i3.xlarge=0; m5.2xlarge=53; m5.large=25; m5.xlarge=75; m5a.2xlarge=47; m5a.large=0; m5a.xlarge=45; m5zn.2xlarge=88; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=22; r5.xlarge=48; r5a.2xlarge=71; r5a.large=63; r5a.xlarge=46; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=30},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.15,40,0,RESHIMAX,1601.9699999999973,0, 56, 83, 53, 79, 50, 22, 24, 0, 50, 22, 77, 41, 0, 47, 83, 0, 34, 0, 22, 51, 65, 73, 42, 0, 0, 26,{c5.2xlarge=0; c5.xlarge=56; c5a.2xlarge=83; c5a.xlarge=53; d3.2xlarge=79; d3.xlarge=50; i3.2xlarge=22; i3.large=24; i3.xlarge=0; m5.2xlarge=50; m5.large=22; m5.xlarge=77; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=47; m5zn.2xlarge=83; m5zn.large=0; m5zn.xlarge=34; r5.2xlarge=0; r5.large=22; r5.xlarge=51; r5a.2xlarge=65; r5a.large=73; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=26},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.15,40,0,RESHIFCFS,1602.1299999999974,0, 50, 80, 53, 76, 52, 26, 22, 0, 53, 22, 73, 45, 0, 42, 95, 0, 30, 0, 22, 49, 68, 72, 44, 0, 0, 26,{c5.2xlarge=0; c5.xlarge=50; c5a.2xlarge=80; c5a.xlarge=53; d3.2xlarge=76; d3.xlarge=52; i3.2xlarge=26; i3.large=22; i3.xlarge=0; m5.2xlarge=53; m5.large=22; m5.xlarge=73; m5a.2xlarge=45; m5a.large=0; m5a.xlarge=42; m5zn.2xlarge=95; m5zn.large=0; m5zn.xlarge=30; r5.2xlarge=0; r5.large=22; r5.xlarge=49; r5a.2xlarge=68; r5a.large=72; r5a.xlarge=44; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=26},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
