Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
methylseq,exponential,0.1,40,0,MINMIN,1609.9499999999982,0, 49, 84, 53, 73, 51, 22, 26, 0, 51, 25, 75, 51, 0, 46, 83, 0, 26, 0, 24, 53, 68, 66, 46, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=49; c5a.2xlarge=84; c5a.xlarge=53; d3.2xlarge=73; d3.xlarge=51; i3.2xlarge=22; i3.large=26; i3.xlarge=0; m5.2xlarge=51; m5.large=25; m5.xlarge=75; m5a.2xlarge=51; m5a.large=0; m5a.xlarge=46; m5zn.2xlarge=83; m5zn.large=0; m5zn.xlarge=26; r5.2xlarge=0; r5.large=24; r5.xlarge=53; r5a.2xlarge=68; r5a.large=66; r5a.xlarge=46; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.1,40,0,MAXMIN,1605.3499999999979,0, 54, 81, 56, 73, 50, 23, 22, 0, 55, 22, 77, 50, 0, 44, 91, 0, 29, 0, 22, 49, 67, 64, 42, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=54; c5a.2xlarge=81; c5a.xlarge=56; d3.2xlarge=73; d3.xlarge=50; i3.2xlarge=23; i3.large=22; i3.xlarge=0; m5.2xlarge=55; m5.large=22; m5.xlarge=77; m5a.2xlarge=50; m5a.large=0; m5a.xlarge=44; m5zn.2xlarge=91; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=22; r5.xlarge=49; r5a.2xlarge=67; r5a.large=64; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.1,40,0,MCT,1604.9499999999975,0, 50, 82, 51, 78, 49, 25, 27, 0, 51, 22, 73, 47, 0, 47, 89, 0, 28, 0, 20, 48, 73, 67, 46, 0, 0, 27,{c5.2xlarge=0; c5.xlarge=50; c5a.2xlarge=82; c5a.xlarge=51; d3.2xlarge=78; d3.xlarge=49; i3.2xlarge=25; i3.large=27; i3.xlarge=0; m5.2xlarge=51; m5.large=22; m5.xlarge=73; m5a.2xlarge=47; m5a.large=0; m5a.xlarge=47; m5zn.2xlarge=89; m5zn.large=0; m5zn.xlarge=28; r5.2xlarge=0; r5.large=20; r5.xlarge=48; r5a.2xlarge=73; r5a.large=67; r5a.xlarge=46; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=27},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.1,40,0,ROUNDROBIN,1605.7699999999973,0, 53, 84, 52, 76, 51, 22, 21, 0, 49, 24, 78, 45, 0, 47, 88, 0, 27, 0, 24, 51, 71, 70, 42, 0, 0, 25,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=84; c5a.xlarge=52; d3.2xlarge=76; d3.xlarge=51; i3.2xlarge=22; i3.large=21; i3.xlarge=0; m5.2xlarge=49; m5.large=24; m5.xlarge=78; m5a.2xlarge=45; m5a.large=0; m5a.xlarge=47; m5zn.2xlarge=88; m5zn.large=0; m5zn.xlarge=27; r5.2xlarge=0; r5.large=24; r5.xlarge=51; r5a.2xlarge=71; r5a.large=70; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=25},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.1,40,0,STATIC,1972.8299999999963,0, 53, 83, 58, 77, 46, 26, 23, 0, 53, 22, 76, 46, 0, 44, 91, 0, 30, 0, 24, 47, 66, 68, 41, 0, 0, 26,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=83; c5a.xlarge=58; d3.2xlarge=77; d3.xlarge=46; i3.2xlarge=26; i3.large=23; i3.xlarge=0; m5.2xlarge=53; m5.large=22; m5.xlarge=76; m5a.2xlarge=46; m5a.large=0; m5a.xlarge=44; m5zn.2xlarge=91; m5zn.large=0; m5zn.xlarge=30; r5.2xlarge=0; r5.large=24; r5.xlarge=47; r5a.2xlarge=66; r5a.large=68; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=26},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.1,40,0,NOML,1612.369999999998,0, 53, 84, 55, 72, 48, 23, 26, 0, 51, 26, 78, 48, 0, 49, 82, 0, 29, 0, 25, 51, 70, 58, 43, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=84; c5a.xlarge=55; d3.2xlarge=72; d3.xlarge=48; i3.2xlarge=23; i3.large=26; i3.xlarge=0; m5.2xlarge=51; m5.large=26; m5.xlarge=78; m5a.2xlarge=48; m5a.large=0; m5a.xlarge=49; m5zn.2xlarge=82; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=25; r5.xlarge=51; r5a.2xlarge=70; r5a.large=58; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.1,40,0,CUSTOMCLUSTERNOML,1600.4199999999976,0, 51, 81, 54, 85, 53, 23, 25, 0, 50, 23, 74, 45, 0, 49, 85, 0, 29, 0, 25, 50, 68, 60, 43, 0, 0, 27,{c5.2xlarge=0; c5.xlarge=51; c5a.2xlarge=81; c5a.xlarge=54; d3.2xlarge=85; d3.xlarge=53; i3.2xlarge=23; i3.large=25; i3.xlarge=0; m5.2xlarge=50; m5.large=23; m5.xlarge=74; m5a.2xlarge=45; m5a.large=0; m5a.xlarge=49; m5zn.2xlarge=85; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=25; r5.xlarge=50; r5a.2xlarge=68; r5a.large=60; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=27},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.1,40,0,TEXTDISTANCE,1605.2499999999973,0, 53, 80, 51, 75, 48, 23, 25, 0, 52, 29, 77, 47, 0, 45, 86, 0, 32, 0, 22, 47, 70, 68, 43, 0, 0, 27,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=80; c5a.xlarge=51; d3.2xlarge=75; d3.xlarge=48; i3.2xlarge=23; i3.large=25; i3.xlarge=0; m5.2xlarge=52; m5.large=29; m5.xlarge=77; m5a.2xlarge=47; m5a.large=0; m5a.xlarge=45; m5zn.2xlarge=86; m5zn.large=0; m5zn.xlarge=32; r5.2xlarge=0; r5.large=22; r5.xlarge=47; r5a.2xlarge=70; r5a.large=68; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=27},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.1,40,0,CRITICALPATH,1602.9899999999975,0, 54, 82, 56, 74, 46, 23, 21, 0, 47, 23, 74, 46, 0, 50, 91, 0, 31, 0, 22, 51, 65, 72, 47, 0, 0, 25,{c5.2xlarge=0; c5.xlarge=54; c5a.2xlarge=82; c5a.xlarge=56; d3.2xlarge=74; d3.xlarge=46; i3.2xlarge=23; i3.large=21; i3.xlarge=0; m5.2xlarge=47; m5.large=23; m5.xlarge=74; m5a.2xlarge=46; m5a.large=0; m5a.xlarge=50; m5zn.2xlarge=91; m5zn.large=0; m5zn.xlarge=31; r5.2xlarge=0; r5.large=22; r5.xlarge=51; r5a.2xlarge=65; r5a.large=72; r5a.xlarge=47; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=25},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.1,40,0,CRITICALPATHREVERSE,1602.5399999999975,0, 49, 83, 55, 76, 51, 23, 21, 0, 50, 23, 77, 48, 0, 47, 88, 0, 35, 0, 22, 52, 66, 64, 43, 0, 0, 27,{c5.2xlarge=0; c5.xlarge=49; c5a.2xlarge=83; c5a.xlarge=55; d3.2xlarge=76; d3.xlarge=51; i3.2xlarge=23; i3.large=21; i3.xlarge=0; m5.2xlarge=50; m5.large=23; m5.xlarge=77; m5a.2xlarge=48; m5a.large=0; m5a.xlarge=47; m5zn.2xlarge=88; m5zn.large=0; m5zn.xlarge=35; r5.2xlarge=0; r5.large=22; r5.xlarge=52; r5a.2xlarge=66; r5a.large=64; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=27},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.1,40,0,RESHIV2,1602.8199999999977,0, 51, 78, 55, 75, 48, 23, 23, 0, 52, 24, 75, 48, 0, 44, 93, 0, 33, 0, 24, 48, 65, 67, 47, 0, 0, 27,{c5.2xlarge=0; c5.xlarge=51; c5a.2xlarge=78; c5a.xlarge=55; d3.2xlarge=75; d3.xlarge=48; i3.2xlarge=23; i3.large=23; i3.xlarge=0; m5.2xlarge=52; m5.large=24; m5.xlarge=75; m5a.2xlarge=48; m5a.large=0; m5a.xlarge=44; m5zn.2xlarge=93; m5zn.large=0; m5zn.xlarge=33; r5.2xlarge=0; r5.large=24; r5.xlarge=48; r5a.2xlarge=65; r5a.large=67; r5a.xlarge=47; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=27},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
